School Name,Suburb,State,Postcode,Type,Sector,ACARA ID
A B Paterson College,Arundel,QLD,4214,Combined,Non-Gov,48096
A.G.B.U. Alexander Primary School,Duffys Forest,NSW,2084,Primary,Non-Gov,44003
Abbotsford Primary School,Abbotsford,VIC,3067,Primary,Gov,44370
Abbotsford Public School,Abbotsford,NSW,2046,Primary,Gov,40987
Abbotsleigh,Wahroonga,NSW,2076,Combined,Non-Gov,43762
Abbotsleigh Junior School,Wahroonga,NSW,2076,Primary,Non-Gov,52056
Abercorn State School,Abercorn,QLD,4627,Primary,Gov,46801
Aberdeen Public School,Aberdeen,NSW,2336,Primary,Gov,41852
Aberfeldie Primary School,Essendon,VIC,3040,Primary,Gov,44727
Aberfoyle Hub Primary School,Aberfoyle Park,SA,5159,Primary,Gov,49360
Aberfoyle Park High School,Aberfoyle Park,SA,5159,Secondary,Gov,49663
Abergowrie State School,Abergowrie,QLD,4850,Primary,Gov,47089
Abermain Public School,Abermain,NSW,2326,Primary,Gov,41853
Aboriginal & Islander Independent Community School,Acacia Ridge,QLD,4110,Combined,Non-Gov,48059
Acacia Hill School,Sadadeen,NT,871,Special,Gov,50072
Acacia Ridge State School,Acacia Ridge,QLD,4110,Primary,Gov,46412
Academy of Mary Immaculate,Fitzroy,VIC,3065,Secondary,Non-Gov,45704
Adam Road Primary School,South Bunbury,WA,6230,Primary,Gov,48264
Adaminaby Public School,Adaminaby,NSW,2629,Primary,Gov,42715
Adamstown Public School,Adamstown,NSW,2289,Primary,Gov,41854
Adass Israel School,Elsternwick,VIC,3185,Combined,Non-Gov,46213
Adass Israel School - Glen Eira Road Campus,St Kilda East,VIC,3183,Combined,Non-Gov,52146
Adass Israel School - Orrong Road Campus,Elsternwick,VIC,3185,Combined,Non-Gov,46214
Adelaide Botanic High School,Adelaide,SA,5000,Secondary,Gov,52576
Adelaide East Education Centre,Campbelltown,SA,5074,Special,Gov,49559
Adelaide High School,Adelaide,SA,5000,Secondary,Gov,49453
Adelaide International School,Adelaide,SA,5000,Secondary,Non-Gov,52254
Adelaide North Special School,Munno Para West,SA,5115,Special,Gov,49340
Adelaide River School,Adelaide River,NT,846,Combined,Gov,50073
Adelaide Secondary School of English,West Croydon,SA,5008,Secondary,Gov,49664
Adelaide West Special Education Centre,Taperoo,SA,5017,Special,Gov,49643
Adelong Public School,Adelong,NSW,2729,Primary,Gov,42530
Advance College of Education Incorporated,Rosebud,VIC,3939,Special,Non-Gov,52378
Advance College of Education Incorporated - Hastings Hub,Hastings,VIC,3915,Special,Non-Gov,52379
Advance College of Education Incorporated - Mornington Campus,Mornington,VIC,3931,Special,Non-Gov,52430
Aetaomah School,Terragon,NSW,2484,Combined,Non-Gov,43780
Agnes Water State School,Agnes Water,QLD,4677,Primary,Gov,47391
Ainslie Parklands Primary School,Croydon,VIC,3136,Primary,Gov,44886
Ainslie School,Braddon,ACT,2612,Primary,Gov,49910
Aintree Primary School,Aintree,VIC,3336,Primary,Gov,52936
Airdale Primary School,Port Pirie,SA,5540,Primary,Gov,49549
Airds High School,Campbelltown,NSW,2560,Secondary,Gov,41594
Aireys Inlet Primary School,Aireys Inlet,VIC,3231,Primary,Gov,52492
Airly Primary School,Airly,VIC,3851,Primary,Gov,44716
Airville State School,Airville,QLD,4807,Primary,Gov,46805
Aitken College,Greenvale,VIC,3059,Combined,Non-Gov,46353
Aitken Creek Primary School,Craigieburn,VIC,3064,Primary,Gov,50266
Aitken Hill Primary School,Craigieburn,VIC,3064,Primary,Gov,52696
Aitkenvale State School,Aitkenvale,QLD,4814,Primary,Gov,46899
Ajuga School,Glenfield,NSW,2167,Special,Gov,41548
Al Amanah College,Liverpool,NSW,2170,Combined,Non-Gov,43919
"Al Amanah College, Bankstown campus",Bankstown,NSW,2200,Combined,Non-Gov,43852
Al Hikma College,Lakemba,NSW,2195,Primary,Non-Gov,50603
Al Iman College,Melton South,VIC,3338,Combined,Non-Gov,52380
Al Noori Muslim School,Greenacre,NSW,2190,Primary,Non-Gov,43958
Al Noori Muslim School - Senior Campus,Greenacre,NSW,2190,Secondary,Non-Gov,40979
Al Sadiq College,Greenacre,NSW,2190,Combined,Non-Gov,43741
Al Sadiq College Yagoona Campus,Yagoona,NSW,2199,Primary,Non-Gov,40720
Al Siraat College,Epping,VIC,3076,Combined,Non-Gov,46390
Al Siraat College - Online College,Epping,VIC,3076,Combined,Non-Gov,53460
Al Zahra College,Arncliffe,NSW,2205,Combined,Non-Gov,43946
Alamanda K-9 College,Point Cook,VIC,3030,Combined,Gov,50567
Al-Ameen College,Langford,WA,6147,Combined,Non-Gov,49138
Al-Ameen College - Malaga Campus,Malaga,WA,6090,Combined,Non-Gov,53385
Alawa Primary School,Alawa,NT,810,Primary,Gov,50010
Albanvale Primary School,Albanvale,VIC,3021,Primary,Gov,45065
Albany Creek State High School,Albany Creek,QLD,4035,Secondary,Gov,47534
Albany Creek State School,Albany Creek,QLD,4035,Primary,Gov,46546
Albany Hills State School,Albany Creek,QLD,4035,Primary,Gov,47310
Albany Primary School,Albany,WA,6330,Primary,Gov,48265
Albany Rise Primary School,Mulgrave,VIC,3170,Primary,Gov,45217
Albany Secondary Education Support Centre,Albany,WA,6330,Special,Gov,48851
Albany Senior High School,Albany,WA,6330,Secondary,Gov,48116
Albert Park College,Albert Park,VIC,3206,Secondary,Gov,50267
Albert Park College-Environmental Arts Hub,Albert Park,VIC,3207,Secondary,Gov,52157
Albert Park Flexible School,Milton,QLD,4064,Special,Non-Gov,40769
Albert Park Primary School,Albert Park,VIC,3206,Primary,Gov,44224
Albert Park Public School,East Lismore,NSW,2480,Primary,Gov,42339
Albert State School,Maryborough,QLD,4650,Primary,Gov,46424
Alberton Primary School,Queenstown,SA,5014,Primary,Gov,49198
Alberton Primary School,Alberton,VIC,3971,Primary,Gov,44030
Albion North Primary School,Sunshine North,VIC,3020,Primary,Gov,44875
Albion Park High School,Albion Park,NSW,2527,Secondary,Gov,42936
Albion Park Public School,Albion Park,NSW,2527,Primary,Gov,42716
Albion Park Rail Public School,Albion Park,NSW,2527,Primary,Gov,42861
Albion Primary School,Albion,VIC,3020,Primary,Gov,44732
Albuera Street Primary School,Battery Point,TAS,7004,Primary,Gov,40100
Albury High School,Albury,NSW,2640,Secondary,Gov,42689
Albury North Public School,Albury,NSW,2640,Primary,Gov,42654
Albury Public School,Albury,NSW,2640,Primary,Gov,42531
Albury West Public School,Albury,NSW,2640,Primary,Gov,42532
Alcoota School,Engawala,NT,872,Combined,Gov,50074
Aldavilla Public School,Yarravel,NSW,2440,Primary,Gov,42356
Aldercourt Primary School,Frankston North,VIC,3200,Primary,Gov,44987
Aldgate Primary School,Aldgate,SA,5154,Primary,Gov,49204
Aldinga Beach Primary School,Aldinga,SA,5173,Primary,Gov,49212
Aldinga Payinthi College,Aldinga,SA,5173,Combined,Gov,53035
Aldridge State High School,Maryborough,QLD,4650,Secondary,Gov,47419
Alekarenge School,Ali Curung,NT,872,Combined,Gov,50054
Alesco Secondary College,Cooks Hill,NSW,2300,Special,Non-Gov,40724
Alesco Secondary College - Abermain Campus,Abermain,NSW,2326,Special,Non-Gov,52072
Alesco Secondary College - Charlestown Campus,Charlestown,NSW,2290,Special,Non-Gov,53001
Alesco Secondary College - Coast Campus,Tuncurry,NSW,2428,Special,Non-Gov,52306
Alesco Secondary College - Northlakes Campus,Argenton,NSW,2284,Special,Non-Gov,52891
Alesco Secondary College - Raymond Terrace Campus,Raymond Terrace,NSW,2324,Special,Non-Gov,52307
Alesco Secondary College - Tomaree Campus,Nelson Bay,NSW,2315,Special,Non-Gov,52612
Alesco Secondary College - Woodberry Campus,Woodberry,NSW,2322,Special,Non-Gov,53548
Alexandra Bay State School,Diwan,QLD,4873,Primary,Gov,47373
Alexandra Hills State High School,Alexandra Hills,QLD,4161,Secondary,Gov,47553
Alexandra Hills TAFE Senior Studies Program,Alexandra Hills,QLD,4157,Secondary,Gov,53127
Alexandra Hills State School,Alexandra Hills,QLD,4161,Primary,Gov,46686
Alexandra Primary School,Alexandra,VIC,3714,Primary,Gov,44166
Alexandra Secondary College,Alexandra,VIC,3714,Secondary,Gov,45349
Alexandria Park Community School,Alexandria,NSW,2015,Combined,Gov,41184
Al-Faisal College,Auburn,NSW,2144,Combined,Non-Gov,43952
Al-Faisal College - Lakemba,Lakemba,NSW,2195,Primary,Non-Gov,53107
Al-Faisal College - Campbelltown,Minto,NSW,2566,Combined,Non-Gov,50593
Al-Faisal College - Liverpool,Austral,NSW,2179,Combined,Non-Gov,51520
Alfords Point Public School,Alfords Point,NSW,2234,Primary,Gov,41115
Alfred Deakin High School,Deakin,ACT,2600,Secondary,Gov,49911
Alfredton Primary School,Alfredton,VIC,3350,Primary,Gov,44196
Algester State School,Algester,QLD,4115,Primary,Gov,47289
Al-Hidayah Islamic School,Bentley,WA,6102,Primary,Non-Gov,49106
Alia College,Hawthorn East,VIC,3123,Secondary,Non-Gov,46354
Alice Miller School,Macedon,VIC,3440,Combined,Non-Gov,52381
Alice Miller School - Candlebark Campus,Romsey,VIC,3434,Combined,Non-Gov,46379
Alice Springs School Of The Air,Alice Springs,NT,870,Combined,Gov,50008
Alice Springs Steiner School,Ross,NT,873,Combined,Non-Gov,50157
Alinjarra Primary School,Alexander Heights,WA,6064,Primary,Gov,48691
Alkimos Baptist College,Merriwa,WA,6030,Combined,Non-Gov,50319
Alkimos Beach Primary School,Alkimos,WA,6038,Primary,Gov,52262
Alkimos College,Alkimos,WA,6038,Secondary,Gov,52490
Alkimos Primary School,Alkimos,WA,6038,Primary,Gov,52261
Alkira Secondary College,Cranbourne North,VIC,3977,Secondary,Gov,45604
All Hallows Catholic Primary School,Five Dock,NSW,2046,Primary,Non-Gov,43404
All Hallows Catholic Primary School Gulgong,Gulgong,NSW,2852,Primary,Non-Gov,43567
All Hallows' School,Brisbane,QLD,4000,Combined,Non-Gov,47882
All Saints Anglican School,Merrimac,QLD,4226,Combined,Non-Gov,48002
All Saints Anglican School,Shepparton North,VIC,3631,Combined,Non-Gov,53341
All Saints Catholic College,Liverpool,NSW,2170,Combined,Non-Gov,43422
"All Saints Catholic College, Casula Campus",Casula,NSW,2170,Secondary,Non-Gov,52877
All Saints Catholic Primary School,Seaford,SA,5169,Primary,Non-Gov,49784
All Saints College,Maitland,NSW,2320,Secondary,Non-Gov,40618
All Saints College (St Peter's),Maitland,NSW,2320,Secondary,Non-Gov,43318
All Saints' College,Bull Creek,WA,6149,Combined,Non-Gov,49049
All Saints' College - Adelaide Street Campus,Fremantle,WA,6160,Secondary,Non-Gov,53119
All Saints Grammar,Belmore,NSW,2192,Secondary,Non-Gov,40892
All Saints Grammar Junior School,Belmore,NSW,2192,Primary,Non-Gov,43959
All Saints Parish School,Portland,VIC,3305,Primary,Non-Gov,45736
All Saints Primary School,Albany Creek,QLD,4035,Primary,Non-Gov,47925
All Saints Primary School,Tumbarumba,NSW,2653,Primary,Non-Gov,43616
All Saints' School,Boonah,QLD,4310,Primary,Non-Gov,47743
All Souls St Gabriels School,Charters Towers,QLD,4820,Combined,Non-Gov,48001
Allambie Heights Public School,Allambie Heights,NSW,2100,Primary,Gov,41281
Allansford and District Primary School,Allansford,VIC,3277,Primary,Gov,44031
Allanson Primary School,Allanson,WA,6225,Primary,Gov,48266
Allegra School Coffs Harbour,Coffs Harbour,NSW,2450,Special,Non-Gov,52437
Allenby Gardens Primary School,Allenby Gardens,SA,5009,Primary,Gov,49337
Allendale East Area School,Allendale East,SA,5291,Combined,Gov,49436
Allendale Primary School,Geraldton,WA,6530,Primary,Gov,48267
Allenstown State School,Allenstown,QLD,4700,Primary,Gov,46516
Alligator Creek State School,Alligator Creek,QLD,4740,Primary,Gov,46886
Allora P-10 State School,Allora,QLD,4362,Combined,Gov,46396
Alloway State School,Alloway,QLD,4670,Primary,Gov,46698
Alma Public School,Broken Hill,NSW,2880,Primary,Gov,42940
Aloomba State School,Aloomba,QLD,4871,Primary,Gov,46923
Alpha Omega Senior College,Auburn,NSW,2144,Secondary,Non-Gov,50380
"Alpha Omega Senior College, Queen Street Campus",Auburn,NSW,2144,Secondary,Non-Gov,52618
Alpha State School,Alpha,QLD,4724,Combined,Gov,46757
Alphington Grammar School,Alphington,VIC,3078,Combined,Non-Gov,46316
Alphington Primary School,Alphington,VIC,3078,Primary,Gov,44625
Alpurrurulam School,Alpurrurulam,NT,4825,Combined,Gov,50075
Alstonville High School,Alstonville,NSW,2477,Secondary,Gov,42405
Alstonville Public School,Alstonville,NSW,2477,Primary,Gov,42138
Alta-1 College,Caboolture,QLD,4510,Secondary,Non-Gov,51521
Alta-1 College - Morayfield Campus,Morayfield,QLD,4506,Secondary,Non-Gov,53476
Alta-1 College - Morayfield Temporary Facility,Morayfield,QLD,4506,Secondary,Non-Gov,53484
Alta-1 College - Joondalup Campus,Joondalup,WA,6027,Special,Non-Gov,40967
Alta-1 College - Albany Marine VET Campus,Albany,WA,6330,Special,Non-Gov,52749
Alta-1 College - Albany Middle School,Albany,WA,6331,Special,Non-Gov,50607
Alta-1 College - Albany Senior School,Albany,WA,6330,Special,Non-Gov,50599
Alta-1 College - Belmont Campus,Belmont,WA,6104,Special,Non-Gov,50598
Alta-1 College - Bessemer Road Campus,Port Kennedy,WA,6172,Special,Non-Gov,52751
Alta-1 College - Camillo,Camillo,WA,6111,Special,Non-Gov,53095
Alta-1 College - Collingwood Heights Campus,Collingwood Heights,WA,6330,Special,Non-Gov,52752
Alta-1 College - Como Campus,Como,WA,6152,Special,Non-Gov,50597
Alta-1 College - Cooper Road Campus,Jandakot,WA,6164,Special,Non-Gov,52484
Alta-1 College - Ellenbrook Campus,Ellenbrook,WA,6069,Special,Non-Gov,52487
Alta-1 College - Girls' Campus Joondalup,Joondalup,WA,6027,Special,Non-Gov,51524
Alta-1 College - Hammond Road Campus,Cockburn Central,WA,6164,Special,Non-Gov,52485
Alta-1 College - Huntingdale Campus,Huntingdale,WA,6110,Special,Non-Gov,40952
Alta-1 College - Malaga Campus,Malaga,WA,6090,Special,Non-Gov,40951
Alta-1 College - Malaga Campus (Action Road),Malaga,WA,6090,Special,Non-Gov,53206
Alta-1 College - Merriwa Campus,Merriwa,WA,6030,Special,Non-Gov,51528
Alta-1 College - Middle Swan campus,Middle Swan,WA,6056,Special,Non-Gov,53145
Alta-1 College - Mullaloo Campus,Mullaloo,WA,6027,Special,Non-Gov,40978
Alta-1 College - Seville Grove Campus,Seville Grove,WA,6112,Special,Non-Gov,53445
Alta-1 College - Stockton Road Campus,Port Kennedy,WA,6172,Special,Non-Gov,52750
Alta-1 College - Warwick Campus,Warwick,WA,6024,Special,Non-Gov,53493
Alta-1 College - Winton Road Joondalup Campus,Joondalup,WA,6027,Special,Non-Gov,52836
Alta-1 Kimberley College,Kununurra,WA,6743,Special,Non-Gov,53030
Al-Taqwa College,Truganina,VIC,3029,Combined,Non-Gov,46309
Al-Taqwa College - Olive Branch Annexe,Tarneit,VIC,3029,Combined,Non-Gov,52102
Altona College,Altona,VIC,3018,Combined,Gov,45587
Altona Green Primary School,Altona Meadows,VIC,3028,Primary,Gov,45141
Altona Meadows Primary School,Altona Meadows,VIC,3028,Primary,Gov,45061
Altona North Primary School,Altona North,VIC,3025,Primary,Gov,44919
Altona Primary School,Altona,VIC,3018,Primary,Gov,44671
Alvie Primary School,Alvie,VIC,3249,Primary,Gov,45291
Alyangula Area School,Alyangula,NT,885,Combined,Gov,50051
Alyarrmandumanja Umbakumba School,Umbakumba,NT,822,Combined,Gov,50124
Amamoor State School,Amamoor,QLD,4570,Primary,Gov,47237
Amanbidji School,Timber Creek,NT,852,Combined,Gov,50138
Amaroo Primary School,Collie,WA,6225,Primary,Gov,48268
Amaroo School,Amaroo,ACT,2914,Combined,Gov,49882
Amata Anangu School,Amata,SA,5710,Combined,Gov,49561
Ambarvale High School,Rosemeadow,NSW,2560,Secondary,Gov,41607
Ambarvale Public School,Ambarvale,NSW,2560,Primary,Gov,41498
Amberley District State School,Yamanto,QLD,4305,Primary,Gov,46485
Ambrose State School,Ambrose,QLD,4695,Primary,Gov,47134
Ambrose Treacy College,Indooroopilly,QLD,4068,Combined,Non-Gov,47720
Amiens State School,Amiens,QLD,4380,Primary,Gov,47206
"Amity College, Prestons",Prestons,NSW,2170,Combined,Non-Gov,44001
Amity College Auburn Campus,Auburn,NSW,2144,Primary,Non-Gov,44006
Amity College Illawarra Campus,Shellharbour,NSW,2529,Combined,Non-Gov,43925
Amity College Leppington Campus,Leppington,NSW,2179,Primary,Non-Gov,53321
Amoonguna School,Amoonguna,NT,873,Primary,Gov,50076
Amphitheatre Primary School,Amphitheatre,VIC,3468,Primary,Gov,44330
Ampilatwatja School,Ampilatwatja,NT,872,Combined,Gov,50077
Amsleigh Park Primary School,Oakleigh East,VIC,3166,Primary,Gov,45218
Anakie Primary School,Anakie,VIC,3213,Primary,Gov,44376
Anakie State School,Anakie Siding,QLD,4702,Primary,Gov,46730
Andale School,Kew,VIC,3101,Special,Non-Gov,40392
Andamooka Primary School,Andamooka,SA,5722,Primary,Gov,49353
Andergrove State School,Andergrove,QLD,4740,Primary,Gov,47189
Andersons Creek Primary School,Warrandyte,VIC,3113,Primary,Gov,45019
Andrews Creek Primary School,Wesley Vale,TAS,7307,Primary,Gov,50565
Angaston Primary School,Angaston,SA,5353,Primary,Gov,49224
Angelorum College,Fortitude Valley,QLD,4006,Combined,Non-Gov,52446
Angle Vale Primary School,Angle Vale,SA,5117,Primary,Gov,49232
Anglesea Primary School,Anglesea,VIC,3230,Primary,Gov,44744
Anglican Church Grammar School,East Brisbane,QLD,4169,Combined,Non-Gov,47996
Angurugu School,Angurugu,NT,822,Combined,Gov,50055
Anna Bay Public School,Anna Bay,NSW,2316,Primary,Gov,41855
Annandale Christian College,Annandale,QLD,4814,Combined,Non-Gov,48048
Annandale North Public School,Annandale,NSW,2038,Primary,Gov,40989
Annandale Public School,Annandale,NSW,2038,Primary,Gov,40988
Annandale State School,Annandale,QLD,4814,Primary,Gov,46702
Annangrove Public School,Annangrove,NSW,2156,Primary,Gov,41247
Anne Hamersley Primary School,Ellenbrook,WA,6069,Primary,Gov,52265
Annesley College,Wayville,SA,5034,Primary,Non-Gov,49808
Annunciation School,Brooklyn,VIC,3012,Primary,Non-Gov,45973
Anson Street School,Orange,NSW,2800,Special,Gov,43093
Antonine College,Pascoe Vale South,VIC,3044,Combined,Non-Gov,46112
Antonine College - Cedar Campus,Coburg,VIC,3058,Combined,Non-Gov,46113
Antonio Catholic School,Morphett Vale,SA,5162,Primary,Non-Gov,49781
Antonio Park Primary School,Mitcham,VIC,3132,Primary,Gov,44866
Anula Primary School,Anula,NT,812,Primary,Gov,50011
Anzac Park Public School,Cammeray,NSW,2062,Primary,Gov,52051
Anzac Terrace Primary School,Bassendean,WA,6054,Primary,Gov,48561
Apollo Bay P-12 College,Apollo Bay,VIC,3233,Combined,Gov,45292
Apollo Parkways Primary School,Greensborough,VIC,3088,Primary,Gov,45068
Appin Park Primary School,Wangaratta,VIC,3676,Primary,Gov,45085
Appin Public School,Appin,NSW,2560,Primary,Gov,41354
Applecross Primary School,Applecross,WA,6153,Primary,Gov,48270
Applecross Senior High School,Ardross,WA,6153,Secondary,Gov,48117
Applethorpe State School,Applethorpe,QLD,4378,Primary,Gov,47095
Apsley Primary School,Apsley,VIC,3319,Primary,Gov,44230
Aquinas Catholic College,Menai,NSW,2234,Secondary,Non-Gov,43492
Aquinas College,Ashmore,QLD,4214,Secondary,Non-Gov,47860
Aquinas College,Ringwood,VIC,3134,Secondary,Non-Gov,45947
Aquinas College,Salter Point,WA,6152,Combined,Non-Gov,48916
Araluen Christian College,Alice Springs,NT,870,Combined,Non-Gov,40343
Araluen Primary School,Sale,VIC,3850,Primary,Gov,44974
Aramac State School,Aramac,QLD,4726,Combined,Gov,46627
Aranda Primary School,Aranda,ACT,2614,Primary,Gov,49883
Aranmore Catholic College,Leederville,WA,6007,Secondary,Non-Gov,48911
Aranmore Catholic College - Primary Campus,Leederville,WA,6007,Primary,Non-Gov,48965
Ararat North Primary School,Ararat,VIC,3377,Primary,Gov,44958
Ararat Primary School,Ararat,VIC,3377,Primary,Gov,44142
Ararat Secondary College,Ararat,VIC,3377,Secondary,Gov,45523
Ararat Secondary College-School Farm Campus,Ararat,VIC,3377,Secondary,Gov,52180
Ararat West Primary School,Ararat,VIC,3377,Primary,Gov,44809
Aratula State School,Aratula,QLD,4309,Primary,Gov,47086
Arawang Primary School,Waramanga,ACT,2611,Primary,Gov,49934
Arbor Grove Primary School,Ellenbrook,WA,6069,Primary,Gov,48768
Arcadia College,Robina,QLD,4226,Special,Non-Gov,52493
Arcadia College - Varsity Lakes Temporary Facility,Varsity Lakes,QLD,4227,Secondary,Non-Gov,53485
Arcadia Public School,Arcadia,NSW,2159,Primary,Gov,41194
Arcadia Vale Public School,Arcadia Vale,NSW,2283,Primary,Gov,42019
Arcadia Valley State School,Arcadia Valley,QLD,4454,Primary,Gov,46905
Ardeer Primary School,Ardeer,VIC,3022,Primary,Gov,44869
Ardeer South Primary School,Sunshine West,VIC,3020,Primary,Gov,44998
"Arden Anglican School, Junior Campus",Beecroft,NSW,2119,Primary,Non-Gov,43976
Arden Anglican School,Epping,NSW,2121,Secondary,Non-Gov,40919
Ardlethan Central School,Ardlethan,NSW,2665,Combined,Gov,42533
Ardmona Primary School,Ardmona,VIC,3629,Primary,Gov,44311
Ardross Primary School,Ardross,WA,6153,Primary,Gov,48271
Ardrossan Area School,Ardrossan,SA,5571,Combined,Gov,49419
Ardtornish Primary School,St Agnes,SA,5097,Primary,Gov,49658
Arethusa College,Deception Bay,QLD,4508,Special,Non-Gov,48115
Arethusa College - Berrinba Campus,Berrinba,QLD,4117,Secondary,Non-Gov,53352
Arethusa College - Caboolture Temporary Facility,Caboolture,QLD,4510,Secondary,Non-Gov,53430
Arethusa College - Forest Lake Campus,Forest Lake,QLD,4078,Secondary,Non-Gov,53349
Arethusa College - Ipswich Temporary Facility,Ipswich,QLD,4305,Secondary,Non-Gov,53429
Arethusa College - Maroochydore Campus,Maroochydore,QLD,4558,Secondary,Non-Gov,53348
Arethusa College - Spring Hill Campus,Spring Hill,QLD,4004,Special,Non-Gov,51489
Arethusa College - Springwood Campus,Springwood,QLD,4127,Secondary,Non-Gov,53351
Arethusa College - West End Campus,West End,QLD,4101,Secondary,Non-Gov,53350
Arethusa College - Windsor Campus,Windsor,QLD,4030,Special,Non-Gov,52445
Areyonga School,Areyonga,NT,872,Combined,Gov,50078
Argenton Public School,Argenton,NSW,2284,Primary,Gov,42001
Ariah Park Central School,Ariah Park,NSW,2665,Combined,Gov,42534
Arise Christian College,Metford,NSW,2323,Special,Non-Gov,52875
Arkana College,Kingsgrove,NSW,2208,Primary,Non-Gov,43943
Arlparra School,Utopia,NT,872,Combined,Gov,40836
Armadale Education Support Centre,Armadale,WA,6112,Special,Gov,48818
Armadale Primary School,Armadale,WA,6112,Primary,Gov,48272
Armadale Primary School,Armadale,VIC,3143,Primary,Gov,44490
Armadale Senior High School,Armadale,WA,6112,Secondary,Gov,48118
Armidale City Public School,Armidale,NSW,2350,Primary,Gov,42410
Armidale Secondary College,Armidale,NSW,2350,Secondary,Gov,52723
Armstrong Creek School,Armstrong Creek,VIC,3217,Primary,Gov,52589
Armstrong Creek School - Specialist P-12 Campus,Armstrong Creek,VIC,3218,Special,Gov,52923
Arncliffe Public School,Arncliffe,NSW,2205,Primary,Gov,41129
Arncliffe West Infants School,Arncliffe,NSW,2205,Primary,Gov,40524
Arndell Anglican College,Oakville,NSW,2765,Combined,Non-Gov,43960
Arndell School,North Ryde,NSW,2113,Special,Gov,40647
Arnolds Creek Primary School,Harkness,VIC,3337,Primary,Gov,51481
Arrahman College,Austral,NSW,2179,Combined,Non-Gov,53082
Arranounbai School,Frenchs Forest,NSW,2086,Special,Gov,41313
Artarmon Public School,Artarmon,NSW,2064,Primary,Gov,41195
Arthur Phillip High School,Parramatta,NSW,2150,Secondary,Gov,41848
Arthurs Creek Primary School,Arthurs Creek,VIC,3099,Primary,Gov,44336
Arundel State School,Arundel,QLD,4214,Primary,Gov,47404
Ascham School,Edgecliff,NSW,2027,Combined,Non-Gov,43953
Ascot Park Primary School,Park Holme,SA,5043,Primary,Gov,49273
Ascot State School,Ascot,QLD,4007,Primary,Gov,46615
Ascot Vale Heights School,Ascot Vale,VIC,3032,Special,Gov,45022
Ascot Vale Primary School,Ascot Vale,VIC,3032,Primary,Gov,44486
Ascot Vale West Primary School,Ascot Vale,VIC,3032,Primary,Gov,44696
Ashburton Drive Primary School,Gosnells,WA,6110,Primary,Gov,48675
Ashburton Primary School,Ashburton,VIC,3147,Primary,Gov,44741
Ashbury Public School,Ashbury,NSW,2193,Primary,Gov,40990
Ashby Primary School,Geelong West,VIC,3218,Primary,Gov,44298
Ashcroft High School,Ashcroft,NSW,2168,Secondary,Gov,41585
Ashcroft Public School,Ashcroft,NSW,2168,Primary,Gov,41477
Ashdale Primary School,Darch,WA,6065,Primary,Gov,48763
Ashdale Secondary College,Darch,WA,6065,Secondary,Gov,48258
Ashfield Boys High School,Ashfield,NSW,2131,Secondary,Gov,41189
Ashfield Primary School,Ashfield,WA,6054,Primary,Gov,48273
Ashfield Public School,Ashfield,NSW,2131,Primary,Gov,40991
Ashford Central School,Ashford,NSW,2361,Combined,Gov,42412
Ashgrove State School,Ashgrove,QLD,4060,Primary,Gov,46544
Ashley Park Primary School,Doreen,VIC,3754,Primary,Gov,52697
Ashley School,Deloraine,TAS,7304,Special,Gov,40253
Ashmont Public School,Wagga Wagga,NSW,2650,Primary,Gov,42671
Ashmore State School,Ashmore,QLD,4214,Primary,Gov,47294
Ashtonfield Public School,Ashtonfield,NSW,2323,Primary,Gov,42072
Ashwell State School,Ashwell,QLD,4340,Primary,Gov,46754
Ashwood High School,Ashwood,VIC,3147,Secondary,Gov,45518
Ashwood School,Ashwood,VIC,3147,Special,Gov,45015
Ashwood School-Garfield North Outdoor Education Centre,Garfield North,VIC,3814,Special,Gov,53021
Aspect Central Coast School,Terrigal,NSW,2260,Special,Non-Gov,43796
Aspect Central Coast School Senior College,Terrigal,NSW,2260,Special,Non-Gov,52878
"Aspect Central Coast School, East Gosford",East Gosford,NSW,2250,Special,Non-Gov,52069
"Aspect Central Coast School, Noraville",Noraville,NSW,2263,Special,Non-Gov,52325
"Aspect Central Coast School, Tuggerah",Tuggerah,NSW,2259,Special,Non-Gov,52326
"Aspect Central Coast School, Woy Woy",Woy Woy,NSW,2256,Special,Non-Gov,52328
Aspect Hunter School,Thornton,NSW,2322,Special,Non-Gov,43768
"Aspect Hunter School, Abermain Satellite",Abermain,NSW,2326,Special,Non-Gov,52073
"Aspect Hunter School, Muswellbrook Satellite",Muswellbrook,NSW,2333,Special,Non-Gov,52890
"Aspect Hunter School, Port Macquarie High School Satellite",Port Macquarie,NSW,2444,Special,Non-Gov,52315
"Aspect Hunter School, Port Macquarie Primary Satellite",Port Macquarie,NSW,2444,Special,Non-Gov,52314
"Aspect Hunter School, Tarro Satellite",Tarro,NSW,2322,Special,Non-Gov,52317
"Aspect Hunter School, Waratah West Satellite",Waratah West,NSW,2289,Special,Non-Gov,52318
Aspect Port Macquarie Campus,Thrumster,NSW,2444,Special,Non-Gov,53545
Aspect Macarthur School,Cobbitty,NSW,2570,Special,Non-Gov,50250
"Aspect Macarthur School, Airds",Campbelltown South,NSW,2560,Special,Non-Gov,53003
"Aspect Macarthur School, Campbelltown",Campbelltown,NSW,2560,Special,Non-Gov,52080
"Aspect Macarthur School, Holsworthy",Holsworthy,NSW,2173,Special,Non-Gov,50429
"Aspect Macarthur School, Minto",Minto,NSW,2566,Special,Non-Gov,50430
